time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
55,0.02366787697274185,13.99351371663391,13.870667647708895,inf,0,0,0,0,3,1,3,0
56,0.02359891573812682,13.99351371663391,13.87209572023715,inf,0,0,0,0,1,1,1,0
57,0.023248760038885444,13.99351371663391,13.870609507503291,inf,0,0,0,0,2,1,2,0
58,0.022390912786357433,13.99351371663391,13.863266148113123,inf,0,0,0,0,2,2,1,1
59,0.021254185806950397,13.99351371663391,13.860337854253125,inf,0,0,0,0,2,2,1,1
60,0.019722517173551134,13.99351371663391,13.858962571283113,inf,0,0,0,0,2,1,2,0
61,0.017984646300650893,13.99351371663391,13.85754077435486,inf,0,0,0,0,1,1,1,0
62,0.01605793600315425,13.99351371663391,13.856564638954772,inf,0,0,0,0,2,2,1,1
63,0.01415322920345169,13.99351371663391,13.855479177713892,inf,0,0,0,0,2,1,2,0
64,0.012096900145867284,13.99351371663391,13.854336777756526,inf,0,0,0,0,1,1,1,0
65,0.01018305171718446,13.99351371663391,13.853349165419433,inf,0,0,0,0,3,2,2,1
66,0.008323817806677482,13.99351371663391,13.852461199633122,inf,0,0,0,0,2,2,1,1
67,0.006597095300792249,13.99351371663391,13.851796906264166,inf,0,0,0,0,2,2,1,1
68,0.0052112302593679775,13.99351371663391,13.851313160458476,inf,0,0,0,0,1,1,1,0
69,0.0041771683904815084,13.99351371663391,13.85067253148915,inf,0,0,0,0,3,2,2,1
70,0.0034104085720730584,13.99351371663391,13.850568751780392,inf,0,0,0,0,2,2,1,1
71,0.002932948157854748,13.99351371663391,13.850809282342263,inf,0,0,0,0,1,1,1,0
72,0.00285053565471989,13.99351371663391,13.851346798111546,inf,0,0,0,0,2,2,1,1
73,0.003008228713399822,13.99351371663391,13.851756147768297,inf,0,0,0,0,2,2,1,1
74,0.0034838166465776736,13.99351371663391,13.852099710960337,inf,0,0,0,0,1,1,1,0
75,0.004238726270841033,13.99351371663391,13.852433755478637,inf,0,0,0,0,1,1,1,0
76,0.005123227481409714,13.99351371663391,13.852772927993799,inf,0,0,0,0,1,1,1,0
77,0.006195245079108437,13.99351371663391,13.853122814376489,inf,0,0,0,0,2,2,1,1
78,0.007367822017038705,13.99351371663391,13.85347031593796,inf,0,0,0,0,2,2,1,1
79,0.008656897577502319,13.99351371663391,13.853815128572698,inf,0,0,0,0,2,2,1,1
80,0.009936495027040453,13.99351371663391,13.85404222086046,inf,0,0,0,0,2,2,1,1
81,0.011169875940650414,13.99351371663391,13.854360105749105,inf,0,0,0,0,1,1,1,0
82,0.012349185898184999,13.99351371663391,13.854688023799433,inf,0,0,0,0,3,2,2,1
83,0.013427054166761918,13.99351371663391,13.854981239797757,inf,0,0,0,0,2,2,1,1
84,0.014272940248100247,13.99351371663391,13.855236635547152,inf,0,0,0,0,3,2,2,1
85,0.015036774653648825,13.99351371663391,13.855459839627672,inf,0,0,0,0,3,2,2,1
86,0.01567373097656583,13.99351371663391,13.855626272094343,inf,0,0,0,0,3,1,3,0
87,0.01609132495617476,13.99351371663391,13.85575277790863,inf,0,0,0,0,2,2,1,1
88,0.016347581612579553,13.99351371663391,13.855844975036657,inf,0,0,0,0,3,1,3,0
89,0.016455513331713252,13.99351371663391,13.855894049827185,inf,0,0,0,0,3,2,2,1
90,0.0164050231192508,13.99351371663391,13.85590761465606,inf,0,0,0,0,4,3,2,1
91,0.01624717518083301,13.99351371663391,13.855891768499493,inf,0,0,0,0,3,2,2,1
92,0.01597647870409656,13.99351371663391,13.855847749795581,inf,0,0,0,0,2,1,2,0
93,0.015625318089457527,13.99351371663391,13.855784216405489,inf,0,0,0,0,2,2,1,1
94,0.015157835011200157,13.99351371663391,13.855704179742126,inf,0,0,0,0,1,1,1,0
95,0.01464364369052134,13.99351371663391,13.855615519590762,inf,0,0,0,0,3,2,2,1
96,0.014016922443946343,13.99351371663391,13.855518098776422,inf,0,0,0,0,4,3,2,1
97,0.013456831319147454,13.99351371663391,13.855421131564853,inf,0,0,0,0,3,2,2,1
98,0.012863911868379152,13.99351371663391,13.855320056067576,inf,0,0,0,0,4,2,3,1
99,0.012168241878034449,13.99351371663391,13.85522694270823,inf,0,0,0,0,3,2,2,1
100,0.01154212896475779,13.99351371663391,13.855141865310868,inf,0,0,0,0,2,2,1,1
101,0.010911858722037635,13.99351371663391,13.855060888826236,inf,0,0,0,0,1,1,1,0
102,0.010342977495740494,13.99351371663391,13.854991584291371,inf,0,0,0,0,4,2,3,1
103,0.00979276010358547,13.99351371663391,13.854931279476729,inf,0,0,0,0,4,2,3,1
104,0.009172796771272158,13.99351371663391,13.854882485079797,inf,0,0,0,0,4,3,2,1
105,0.008656827167266571,13.99351371663391,13.854845647371995,inf,0,0,0,0,2,2,1,1
106,0.008189976524938709,13.99351371663391,13.854815684238437,inf,0,0,0,0,2,2,1,1
107,0.007745216703234631,13.99351371663391,13.854796403068796,inf,0,0,0,0,3,3,1,1
108,0.007333349344100643,13.99351371663391,13.85478611697995,inf,0,0,0,0,2,2,1,1
109,0.007005468442059164,13.99351371663391,13.85478314108091,inf,0,0,0,0,2,2,1,1
