time,yellow_line_angle
6580, -0.095218
6590, -0.094310
6600, -0.093014
6610, -0.091004
6620, -0.089475
6630, -0.087735
6640, -0.086903
6650, -0.085976
6660, -0.084040
6670, -0.084191
6680, -0.083329
6690, -0.083429
6700, -0.080450
6710, -0.078142
6720, -0.075974
6730, -0.075964
6740, -0.075416
6750, -0.073090
6760, -0.070275
6770, -0.067746
6780, -0.066855
6790, -0.066641
6800, -0.065516
6810, -0.063118
6820, -0.059884
6830, -0.058091
6840, -0.057118
6850, -0.055357
6860, -0.053273
6870, -0.050768
6880, -0.049479
6890, -0.047016
6900, -0.045120
6910, -0.042337
6920, -0.040648
6930, -0.038135
6940, -0.035658
6950, -0.032476
6960, -0.030621
6970, -0.030012
6980, -0.029578
6990, -0.028992
7000, -0.027099
7010, -0.024876
7020, -0.022514
7030, -0.020738
7040, -0.018910
7050, -0.017295
7060, -0.015125
7070, -0.014112
7080, -0.011285
7090, -0.009760
7100, -0.007156
7110, -0.005471
7120, -0.002182
7130, 0.000450
7140, 0.003128
7150, 0.004642
7160, 0.005323
7170, 0.005112
7180, 0.004743
7190, 0.006069
7200, 0.007422
7210, 0.008638
7220, 0.008563
7230, 0.009370
7240, 0.008911
7250, 0.008762
7260, 0.007314
7270, 0.007098
7280, 0.004998
7290, 0.002492
7300, 0.001275
7310, 0.000775
7320, -0.001064
7330, -0.003937
7340, -0.005057
7350, -0.006027
7360, -0.008782
7370, -0.012879
7380, -0.015278
7390, -0.016807
7400, -0.019022
7410, -0.022136
7420, -0.024442
7430, -0.026663
7440, -0.029092
7450, -0.031999
7460, -0.034262
7470, -0.036499
7480, -0.039498
7490, -0.042200
7500, -0.045279
7510, -0.047850
7520, -0.051539
7530, -0.054326
7540, -0.056062
7550, -0.058599
7560, -0.060541
7570, -0.062715
7580, -0.065249
7590, -0.067871
7600, -0.071854
7610, -0.073648
7620, -0.075306
7630, -0.077178
7640, -0.079861
7650, -0.083107
7660, -0.086961
7670, -0.090090
7680, -0.093364
7690, -0.094455
7700, -0.095318
7710, -0.097794
7720, -0.100412
7730, -0.103032
7740, -0.104402
7750, -0.106332
7760, -0.109977
7770, -0.112513
7780, -0.114824
7790, -0.117117
7800, -0.118734
7810, -0.120146
7820, -0.120328
7830, -0.123186
7840, -0.125594
7850, -0.127594
7860, -0.127671
7870, -0.130044
7880, -0.133071
7890, -0.136408
7900, -0.137145
7910, -0.137834
7920, -0.138836
7930, -0.140985
7940, -0.143888
7950, -0.144619
7960, -0.146066
