time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
96,0.012019372484298031,15.86860845131533,15.673428435953985,inf,0,0,0,0,4,2,3,1
97,0.011363462515487994,15.86860845131533,15.673303686436821,inf,0,0,0,0,3,2,2,1
98,0.010723765602033586,15.86860845131533,15.67318305584455,inf,0,0,0,0,2,2,1,1
99,0.010072004600962008,15.86860845131533,15.673067935774641,inf,0,0,0,0,2,1,2,0
100,0.00946818322962684,15.86860845131533,15.672962235705251,inf,0,0,0,0,3,2,2,1
101,0.008806581493415667,15.86860845131533,15.67286579190261,inf,0,0,0,0,4,3,2,1
102,0.008155255088581101,15.86860845131533,15.672783595688776,inf,0,0,0,0,2,2,1,1
103,0.007588526734593204,15.86860845131533,15.67271257758869,inf,0,0,0,0,1,1,1,0
104,0.007097809635136339,15.86860845131533,15.672653616712962,inf,0,0,0,0,4,2,3,1
105,0.006665403776097976,15.86860845131533,15.672608032192151,inf,0,0,0,0,1,1,1,0
106,0.006256293401464267,15.86860845131533,15.672575078814441,inf,0,0,0,0,4,2,3,1
107,0.00588393508357412,15.86860845131533,15.672554087132637,inf,0,0,0,0,4,2,3,1
108,0.005552887803433623,15.86860845131533,15.672543134021241,inf,0,0,0,0,3,2,2,1
109,0.005227328736382444,15.86860845131533,15.672541180620122,inf,0,0,0,0,3,2,2,1
110,0.0049457458727995805,15.86860845131533,15.672547644534257,inf,0,0,0,0,3,2,2,1
111,0.004795229284986359,15.86860845131533,15.67255971425115,inf,0,0,0,0,2,1,2,0
112,0.00455992600296852,15.86860845131533,15.672574881761863,inf,0,0,0,0,4,3,2,1
113,0.004346857397300147,15.86860845131533,15.672598043259558,inf,0,0,0,0,3,2,2,1
114,0.0041776301597192984,15.86860845131533,15.672621285814358,inf,0,0,0,0,2,2,1,1
115,0.004007794936267354,15.86860845131533,15.672645335493367,inf,0,0,0,0,3,2,2,1
116,0.0038540139510021497,15.86860845131533,15.672670563234348,inf,0,0,0,0,3,3,1,1
117,0.003750556489623693,15.86860845131533,15.6726947461768,inf,0,0,0,0,2,2,1,1
118,0.0036330075088900383,15.86860845131533,15.672716734091697,inf,0,0,0,0,3,2,2,1
119,0.0033628120081452295,15.86860845131533,15.672738193285198,inf,0,0,0,0,2,2,1,1
120,0.003235651524748384,15.86860845131533,15.67276053274682,inf,0,0,0,0,4,2,3,1
121,0.0030557875385436983,15.86860845131533,15.672773743705818,inf,0,0,0,0,2,1,2,0
122,0.00290696399663613,15.86860845131533,15.672788541117942,inf,0,0,0,0,5,3,3,1
123,0.0027153492049174655,15.86860845131533,15.672798677984288,inf,0,0,0,0,4,2,3,1
124,0.002533239209846047,15.86860845131533,15.672807646525358,inf,0,0,0,0,2,2,1,1
125,0.0024003703736232606,15.86860845131533,15.672812952079187,inf,0,0,0,0,4,3,2,1
126,0.0022115480462393624,15.86860845131533,15.67281507930302,inf,0,0,0,0,3,3,1,1
127,0.0020452526787534684,15.86860845131533,15.67281709356255,inf,0,0,0,0,3,2,2,1
128,0.0019069393736960085,15.86860845131533,15.672815728954673,inf,0,0,0,0,3,2,2,1
129,0.001746583401331671,15.86860845131533,15.672812700515136,inf,0,0,0,0,4,2,3,1
130,0.0015996979886348033,15.86860845131533,15.672809292996517,inf,0,0,0,0,3,2,2,1
131,0.0014035680214044407,15.86860845131533,15.672804266369283,inf,0,0,0,0,4,3,2,1
132,0.0012487783833711329,15.86860845131533,15.672799697803745,inf,0,0,0,0,4,3,2,1
133,0.0011406076166957488,15.86860845131533,15.672793190735206,inf,0,0,0,0,2,2,1,1
134,0.0010415748296981843,15.86860845131533,15.672786393520827,inf,0,0,0,0,3,2,2,1
135,0.0009383890353858809,15.86860845131533,15.672780152382307,inf,0,0,0,0,3,2,2,1
136,0.0008239814600468251,15.86860845131533,15.672774298889433,inf,0,0,0,0,3,2,2,1
137,0.0007161288532347324,15.86860845131533,15.672768935768751,inf,0,0,0,0,5,2,4,1
138,0.0006075000371431608,15.86860845131533,15.672763767796411,inf,0,0,0,0,5,3,3,1
139,0.00046535704608702787,15.86860845131533,15.672759285077335,inf,0,0,0,0,5,3,3,1
140,0.00029839687083182097,15.86860845131533,15.672755994441951,inf,0,0,0,0,4,2,2,2
141,0.00018163006378449421,15.86860845131533,15.672753282893893,inf,0,0,0,0,4,2,2,2
142,0.0001452478317649821,15.86860845131533,15.672750086108893,inf,0,0,0,0,4,2,3,1
143,3.1659108778085365e-05,15.86860845131533,15.672746915651292,inf,0,0,0,0,4,3,2,1
144,1.589248832206905e-05,15.86860845131533,15.672746740607318,inf,0,0,0,0,3,1,3,0
145,1.8518450341675248e-06,15.86860845131533,15.672744321112924,inf,0,0,0,0,5,3,3,1
